指标,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2025年_标准化,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
研究与试验发展人员全时当量 (万人年),57498.0,756.9,724.1,635.4,571.6,523.45,480.08,438.14,403.36,387.81,0,0.011288590500793574,0.009909648416347948,0.010442299262093894,0.010664894607519444,0.009738564846939857,0.009836855633300013,0.010479025512837203,0.011694791557366432,0.012649774848997571
研究与试验发展基础研究人员全时当量 (万人年),57498.0,59.7,57.5,50.9,47.2,42.68,39.2,30.5,29.01,27.47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
研究与试验发展应用研究人员全时当量 (万人年),57498.0,89.2,77.7,74.1,69.1,64.31,61.54,53.88,48.96,43.89,0,0.0004776440329509617,0.00030029237625296814,0.00041447620681022806,0.0004453874750279858,0.0004381412268637999,0.0004984470941025274,0.0006010195674863454,0.0006232431990636045,0.0005764258839444417
研究与试验发展试验发展人员全时当量 (万人年),57498.0,607.9,588.9,510.3,455.3,416.46,379.37,353.77,325.39,316.44,0,0.008876083351312446,0.007899770729743924,0.008207343508992191,0.008299663404516945,0.007571355884288077,0.007589827573896901,0.008310162343084296,0.0092589884380186,0.010144323245031991
研究与试验发展经费支出 (亿元),57498.0,36326.8,33357.1,30782.9,27956.31,24393.11,22143.6,19677.93,17606.13,15676.75,0,0.5872123358452822,0.49503049565709584,0.5490380511936177,0.5675967138437586,0.4932467533454035,0.4931904183921176,0.5050680017458616,0.549113809479943,0.5493696746098704
研究与试验发展基础研究经费支出 (亿元),57498.0,2500.9,2259.1,2023.5,1817.0,1467.0,1335.6,1090.37,975.49,822.89,0,0.039526258075928404,0.03272889581972943,0.03524119679111448,0.035993002433996786,0.028851285818152907,0.028925103527059827,0.027245620572786688,0.02956828185712884,0.02792330551809304
研究与试验发展应用研究经费支出 (亿元),57498.0,4305.5,3661.5,3482.5,3145.4,2757.24,2498.5,2190.87,1849.21,1610.49,0,0.06874511983400655,0.05357691703048005,0.06130674790043012,0.06300910845350256,0.05498662269049452,0.05487157289732972,0.05553569901670127,0.05686352235266029,0.05557208908658526
研究与试验发展试验发展经费支出 (亿元),57498.0,29520.4,27436.5,25276.9,22995.9,20168.88,18309.5,16396.69,14781.43,13243.36,0,0.4770077139511321,0.40701509749653536,0.45067141349115586,0.4667152305102622,0.40767997966279285,0.4076444916464372,0.42071858148842384,0.4608694453498696,0.46394525428517097
研究与试验发展政府资金经费支出 (亿元),57498.0,6115.2,5693.4,5470.9,5299.7,4825.56,4537.3,3978.64,3487.45,3140.81,0,0.09804655734015419,0.08378305957050014,0.09683021728066538,0.10682181336002267,0.09688289002044989,0.10036100599742967,0.10149313067474505,0.10804256688569082,0.10929413894759975
研究与试验发展企业资金经费支出 (亿元),57498.0,28870.4,26443.7,24323.9,21808.8,18895.03,16887.15,15079.3,13464.94,11923.54,0,0.46648335390306006,0.3922561731824786,0.4336457313752012,0.4425727888844301,0.3818766416211631,0.37590920855347704,0.3868530054400562,0.41974195466639874,0.4176128297938462
发表科技论文 (万篇),57498.0,229.0,217.0,215.0,203.0,195.17,195.0,184.36,170.09,165.0,0,0.002741191009443994,0.0023711204956608127,0.002931704549032691,0.0031685556442630236,0.003088865265116081,0.0034761887762387545,0.003955212602799363,0.004407375966109941,0.004828005591892756
出版科技著作 (种),57498.0,53631.0,49978.0,46968.0,49217.86875000001,49410.323749999996,44858.4,38931.063749999994,32038.986249999998,28513.3525,0,0.8673902299127408,0.742116117264173,0.8381905880403515,1.0,1.0,1.0,1.0,1.0,1.0
科技成果登记数 (项),57498.0,12582.5,67325.275,56025.162500000006,49217.86875000001,49410.323749999996,44858.4,38931.063749999994,32038.986249999998,28513.3525,0,0.20276070155384077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
国家技术发明奖 (项),57498.0,12582.5,62.0,17073.0,18091.0,61.0,65.0,67.0,66.0,66.0,0,0.20276070155384077,6.689681649199785e-05,0.30410583792863727,0.36696267223333207,0.0003710932628823307,0.000575646151649293,0.0009382897439371944,0.001155577239767555,0.0013525998360766952
国家科学技术进步奖 (项),57498.0,12582.5,139.0,17073.0,18091.0,157.0,185.0,173.0,170.0,171.0,0,0.20276070155384077,0.0012115756764661833,0.30410583792863727,0.36696267223333207,0.0023156867801696532,0.003253070112808796,0.003663185986604115,0.004404564342655518,0.005038636243760396
专利申请数 (项),57498.0,61821.175,67325.275,56025.162500000006,49217.86875000001,49410.323749999996,44858.4,38931.063749999994,32038.986249999998,28513.3525,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
发明专利申请数 (项),57498.0,61821.175,67325.275,56025.162500000006,49217.86875000001,49410.323749999996,44858.4,38931.063749999994,32038.986249999998,28513.3525,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
专利申请授权数 (项),57498.0,61821.175,67325.275,56025.162500000006,49217.86875000001,49410.323749999996,44858.4,38931.063749999994,32038.986249999998,28513.3525,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
发明专利申请授权数 (项),57498.0,61821.175,67325.275,56025.162500000006,49217.86875000001,49410.323749999996,44858.4,38931.063749999994,32038.986249999998,28513.3525,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
高技术产品进出口额 (亿美元),57498.0,16346.0,15219.0,17073.0,18091.0,14583.56,13685.05,14184.77,12514.77,11271.94,0,0.26369674623217787,0.2253902407207612,0.30410583792863727,0.36696267223333207,0.29454271857971753,0.30446438133657,0.36385770887446334,0.3900583962476386,0.39473834100102045
高技术产品出口额 (亿美元),57498.0,8819.0,8420.0,9467.0,9749.0,7762.55,7307.14,7468.16,6674.44,6035.73,0,0.14182465687550366,0.12431658398096267,0.168221957368353,0.19730868517016045,0.1563750953781342,0.1621613058689133,0.1911967149833401,0.207604965030238,0.21092062006504447
