指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
普通高校数 (所),2870.0,2822.0,2760.0,2756.0,2738.0,2688.0,2663.0,2631.0,2596.0,0.0756454760844487,0.07976688972875574,0.08413604503176364,0.09007634587431085,0.10074705172980847,0.10680881045838506,0.11721040014167114,0.12439658698598557,0.13761150314287068
理工农医学校数 (所),2675.0,2579.0,2451.0,2381.0,2342.0,2294.0,2211.0,2162.0,2021.0,0.07049197441220349,0.07288237393969958,0.07469971316910348,0.07779945785262496,0.08615425434398283,0.09112943069326138,0.0972989093613081,0.10220589226819893,0.10710720880136426
人文社科学校数 (所),2726.0,2658.0,2509.0,2546.0,2447.0,2376.0,2346.0,2325.0,2199.0,0.07183981331109839,0.07512054985466023,0.07647093403652837,0.08320128858216674,0.09002355668113356,0.0943926518626526,0.1032459254129652,0.10991822326819727,0.11655027731056103
高等学校研究与试验发展机构数 (个),28814.0,26881.0,24745.0,22859.0,19988.0,18379.0,16280.0,14971.0,13062.0,0.7612990524163975,0.761390615526708,0.7555203686582467,0.7482157589408482,0.7364181499760011,0.7312381198354302,0.7170660858854843,0.7082626271085597,0.692842711104969
高等学校研究与试验发展人员 (万人),186.5,185.5,151.9,140.8,127.39,123.32,98.43,91.36,85.18,0.004725364610243311,0.005071309984531088,0.004489128750197544,0.004458965729476317,0.00454477197372191,0.00474639498625965,0.004236037507609979,0.004233738514600319,0.00441012519758162
高等学校科研和开发机构研究与试验发展折合全时人员 (万人年),89.9,83.7,72.6,67.2,61.48,56.55,41.09,38.22,36.0,0.0021723991664541397,0.00218717950170838,0.002067442288356284,0.0020494218404200986,0.0021159556209447176,0.002089257456012674,0.0017100975046320647,0.001719423978772637,0.0018010796398159027
高等学校基础研究机构研究与试验发展折合全时人员 (万人年),42.0,40.4,34.8,31.9,28.47,26.68,19.13,18.06,16.71,0.0009064877300410825,0.0009604324495843793,0.000913094895448344,0.0008937574479787329,0.0008995206671414239,0.0009005694519917488,0.0007427162268958426,0.0007655553103065842,0.0007777268783417123
高等学校应用研究机构研究与试验发展折合全时人员 (万人年),40.2,36.8,32.8,30.7,28.95,25.82,19.69,18.27,17.25,0.0008589169453742035,0.0008584396230798434,0.0008520183138130033,0.0008544714063093383,0.0009172089063969702,0.0008663454250932554,0.0007673853305175315,0.0007754914422697722,0.0008063743895493879
高等学校试验发展机构研究与试验发展折合全时人员 (万人年),7.7,6.5,4.9,4.6,4.06,4.05,2.27,1.88,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高等学校研究与试验发展经费支出 (亿元),3065.5,2753.3,2412.4,2180.5,1882.48,1796.62,1457.88,1265.96,1072.24,0.08081219186354584,0.07782052662296086,0.07352093514354141,0.07123541505703022,0.06922071329667323,0.07133600453189788,0.06412248914779702,0.05980983662869882,0.05677459262841181
