附表2018年各地区研究与试验发展（R&D）经费情况,,,来源文件,年份,表格编号
地　区,R&D经费（亿元）,R&D经费投入强度（%）,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
全　国,19677.9,2.19,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
北　京,1870.8,6.17,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
天　津,492.4,2.62,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
河　北,499.7,1.39,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
山　西,175.8,1.05,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
内蒙古,129.2,0.75,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
辽　宁,460.1,1.82,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
吉　林,115.0,0.76,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
黑龙江,135.0,0.83,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
上　海,1359.2,4.16,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
江　苏,2504.4,2.70,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
浙　江,1445.7,2.57,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
安　徽,649.0,2.16,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
福　建,642.8,1.80,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
江　西,310.7,1.41,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
山　东,1643.3,2.15,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
河　南,671.5,1.40,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
湖　北,822.1,2.09,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
湖　南,658.3,1.81,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
广　东,2704.7,2.78,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
广　西,144.9,0.71,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
海　南,26.9,0.56,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
重　庆,410.2,2.01,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
四　川,737.1,1.81,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
贵　州,121.6,0.82,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
云　南,187.3,1.05,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
西　藏,3.7,0.25,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
陕　西,532.4,2.18,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
甘　肃,97.1,1.18,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
青　海,17.3,0.60,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
宁　夏,45.6,1.23,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
新　疆,64.3,0.53,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
,,,2018年全国科技经费投入统计公报 - 国家统计局.html,2018,4
