行业,金额（亿美元）,比上年增长（%）,来源文件,年份,表格编号
总计,1438,10.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
其中：农、林、牧、渔业,14,72.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
采矿业,125,80.1,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
制造业,296,6.2,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
电力、热力、燃气及水生产和供应业,64,109.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
建筑业,40,-40.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
批发和零售业,282,-3.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
交通运输、仓储和邮政业,74,13.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
信息传输、软件和信息技术服务业,58,18.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
房地产业,17,66.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
租赁和商务服务业,404,19.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,15
