指标,年末数（万人）,比重（%）,,来源文件,年份,表格编号
全国人口,140828,100.0,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
其中：城镇,94350,67.0,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
乡村,46478,33.0,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
其中：男性,71909,51.1,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
女性,68919,48.9,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
其中：0-15岁（含不满16周岁）[6],23999,17.1,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
16-59岁（含不满60周岁）,85798,60.9,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
60周岁及以上,31031,22.0,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
其中：65周岁及以上,22023,15.6,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
,,,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,18
