单位：%,,,,来源文件,年份,表格编号
指标,全国,,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
城市,农村,,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
居民消费价格,0.2,0.2,0.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
其中：食品烟酒,-0.1,-0.1,-0.1,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
衣着,1.4,1.6,0.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
居住[10],0.1,0.1,0.1,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
生活用品及服务,0.5,0.4,0.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
交通通信,-1.9,-2.0,-1.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
教育文化娱乐,1.5,1.5,1.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
医疗保健,1.3,1.2,1.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
其他用品及服务,3.8,3.8,3.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,19
