指标,单位,绝对数,比上年增长（%）,,来源文件,年份,表格编号
货物运输总量,亿吨,578.3,3.8,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
铁路,亿吨,51.7,2.8,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
公路,亿吨,418.8,3.8,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
水路,亿吨,98.1,4.7,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
民航,万吨,898.2,22.1,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
管道,亿吨,9.5,-0.5,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
货物运输周转量,亿吨公里,261948.1,5.6,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
铁路,亿吨公里,35861.9,-1.6,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
公路,亿吨公里,76847.5,3.9,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
水路,亿吨公里,141422.9,8.8,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
民航,亿吨公里,353.9,24.8,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
管道,亿吨公里,7461.9,2.1,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
,,,,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,22
