商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
大豆,万吨,10503,6.5,3751,-9.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
食用植物油,万吨,716,-26.8,528,-27.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
铁矿砂及其精矿,万吨,123655,4.9,9406,-1.4,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
煤及褐煤,万吨,54270,14.4,3705,-0.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
原油,万吨,55342,-1.9,23108,-2.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
成品油,万吨,4823,1.0,2083,5.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
天然气,万吨,13169,9.9,4637,2.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
初级形状的塑料,万吨,2898,-2.1,3117,-2.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
纸浆,万吨,3435,-6.3,1593,-4.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
钢材,万吨,681,-10.9,819,-8.1,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
未锻轧铜及铜,,,,,,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,29
