产品名称,单位,产量,比上年增长（%）,来源文件,年份,表格编号
纱,万吨,2277.9,1.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
布,亿米,306.3,2.2,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
化学纤维,万吨,7910.8,9.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
成品糖,万吨,1498.6,17.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
卷烟,亿支,24654.6,0.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
彩色电视机,万台,20745.4,4.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
家用电冰箱,万台,10395.7,8.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
房间空气调节器,万台,26598.4,9.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
粗钢,万吨,100509.1,-1.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
钢材[23],万吨,139967.4,1.1,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
十种有色金属,万吨,7918.8,4.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
其中：精炼铜（电解铜）,万吨,1364.4,4.1,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
原铝（电解铝）,万吨,4400.5,4.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
水泥,亿吨,18.3,-9.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
硫酸（折100%）,万吨,10369.9,6.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
烧碱（折100%）,万吨,4365.7,5.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
乙烯,万吨,3493.4,0.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
化肥（折100%）,万吨,6006.1,8.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
发电机组（发电设备）,万千瓦,28433.9,16.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
汽车,万辆,3155.9,4.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
其中：新能源汽车,万辆,1316.8,38.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
集成电路,亿块,4514.2,22.2,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
移动通信手持机,万台,166952.9,7.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
微型计算机设备,万台,33912.9,2.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
工业机器人,万套,55.6,14.2,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
太阳能工业用超白玻璃,万平方米,287884.5,53.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
充电桩,万个,469.7,58.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
智能手表,万个,8095.4,5.4,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
虚拟现实设备,万台,836.6,59.4,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,3
