指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
旅客运输总量,亿人次,170.8,8.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
铁路,亿人次,43.1,11.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
公路,亿人次,117.8,7.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
水路,亿人次,2.6,0.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
民航,亿人次,7.3,17.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
旅客运输周转量,亿人公里,33885.5,13.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
铁路,亿人公里,15799.1,7.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
公路,亿人公里,5117.0,8.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
水路,亿人公里,54.7,1.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
民航,亿人公里,12914.7,25.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,6
