行业,比上年增长（%）,行业,比上年增长（%）,来源文件,年份,表格编号
总计,3.2,金融业,-6.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
农、林、牧、渔业,6.4,房地产业[46],-10.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
采矿业,10.5,租赁和商务服务业,6.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
制造业,9.2,科学研究和技术服务业,11.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
电力、热力、燃气及水生产和供应业,23.9,水利、环境和公共设施管理业,4.2,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
建筑业,-1.9,居民服务、修理和其他服务业,0.7,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
批发和零售业,5.0,教育,1.3,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
交通运输、仓储和邮政业,5.9,卫生和社会工作,-9.4,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
住宿和餐饮业,34.1,文化、体育和娱乐业,0.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
信息传输、软件和信息技术服务业,6.3,公共管理、社会保障和社会组织,-4.2,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,7
