地　区,R&D经费（亿元）,R&D经费投入强度（%）,来源文件,年份,表格编号
全　国,22143.6,2.23,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
北　京,2233.6,6.31,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
天　津,463.0,3.28,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
河　北,566.7,1.61,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
山　西,191.2,1.12,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
内蒙古,147.8,0.86,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
辽　宁,508.5,2.04,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
吉　林,148.4,1.27,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
黑龙江,146.6,1.08,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
上　海,1524.6,4.00,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
江　苏,2779.5,2.79,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
浙　江,1669.8,2.68,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
安　徽,754.0,2.03,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
福　建,753.7,1.78,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
江　西,384.3,1.55,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
山　东,1494.7,2.10,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
河　南,793.0,1.46,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
湖　北,957.9,2.09,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
湖　南,787.2,1.98,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
广　东,3098.5,2.88,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
广　西,167.1,0.79,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
海　南,29.9,0.56,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
重　庆,469.6,1.99,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
四　川,871.0,1.87,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
贵　州,144.7,0.86,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
云　南,220.0,0.95,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
西　藏,4.3,0.26,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
陕　西,584.6,2.27,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
甘　肃,110.2,1.26,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
青　海,20.6,0.69,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
宁　夏,54.5,1.45,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
新　疆,64.1,0.47,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
,,,2019年全国科技经费投入统计公报 - 国家统计局.html,2019,3
