行业,R&D经费（亿元）,R&D经费投入强度（%）,来源文件,年份,表格编号
合　计,15271.3,1.41,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
采矿业,294.8,0.73,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
煤炭开采和洗选业,120.1,0.58,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
石油和天然气开采业,80.1,1.20,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
黑色金属矿采选业,18.3,0.44,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
有色金属矿采选业,22.6,0.82,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
非金属矿采选业,20.3,0.55,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
开采专业及辅助性活动,33.4,1.58,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
制造业,14783.8,1.54,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
农副食品加工业,276.6,0.57,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
食品制造业,157.3,0.81,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
酒、饮料和精制茶制造业,89.7,0.61,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
烟草制品业,28.0,0.25,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
纺织业,231.4,0.99,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
纺织服装、服饰业,105.8,0.76,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
皮革、毛皮、羽毛及其制品和制鞋业,90.3,0.89,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
木材加工和木、竹、藤、棕、草制品业,67.3,0.78,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
家具制造业,90.7,1.28,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
造纸和纸制品业,136.6,1.04,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
印刷和记录媒介复制业,93.6,1.41,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
文教、工美、体育和娱乐用品制造业,101.5,0.83,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
石油、煤炭及其他燃料加工业,189.6,0.45,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
化学原料和化学制品制造业,797.2,1.25,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
医药制造业,784.6,3.13,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
化学纤维制造业,132.4,1.66,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
橡胶和塑料制品业,444.8,1.74,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
非金属矿物制品业,513.1,0.88,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
黑色金属冶炼和压延加工业,799.3,1.09,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
有色金属冶炼和压延加工业,418.8,0.77,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
金属制品业,561.9,1.44,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
通用设备制造业,977.9,2.38,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
专用设备制造业,966.0,2.85,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
汽车制造业,1363.4,1.67,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
铁路、船舶、航空航天和其他运输设备制造业,485.2,3.13,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
电气机械和器材制造业,1567.1,2.26,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
计算机、通信和其他电子设备制造业,2915.2,2.35,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
仪器仪表制造业,293.7,3.59,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
其他制造业,48.1,1.98,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
废弃资源综合利用业,38.4,0.65,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
金属制品、机械和设备修理业,18.7,1.28,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
电力、热力、燃气及水生产和供应业,192.7,0.24,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
电力、热力生产和供应业,151.8,0.22,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
燃气生产和供应业,23.6,0.25,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
水的生产和供应业,17.2,0.48,2020年全国科技经费投入统计公报 - 国家统计局.html,2020,2
