行业,金额（亿美元）,比上年增长（%）,来源文件,年份,表格编号
总计,1106.0,-8.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
其中：农、林、牧、渔业,15.4,-13.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
采矿业,75.2,-18.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
制造业,200.8,6.7,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
电力、热力、燃气及水生产和供应业,25.2,-20.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
建筑业,85.1,15.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
批发和零售业,125.7,18.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
交通运输、仓储和邮政业,55.5,-4.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
信息传输、软件和信息技术服务业,61.2,-10.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
房地产业,48.2,22.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
租赁和商务服务业,355.6,-20.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,14
