指标,专利数（万件）,比上年增长（%）,来源文件,年份,表格编号
专利申请数,438.0,1.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
其中：境内专利申请,417.2,1.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
其中：发明专利申请,140.1,-9.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
其中：境内发明专利,123.1,-10.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
专利授权数,259.2,5.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
其中：境内专利授权,245.8,6.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
其中：发明专利授权,45.3,4.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
其中：境内发明专利,35.4,4.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
年末有效专利数,972.2,16.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
其中：境内有效专利,869.2,17.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
其中：有效发明专利,267.1,12.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
其中：境内有效发明专利,186.2,16.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,16
