单位：%,,,,来源文件,年份,表格编号
指标,全国,,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
城市,农村,,,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
居民消费价格,2.9,2.8,3.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
其中：食品烟酒,7.0,6.7,7.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
衣　着,1.6,1.7,1.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
居　住[14],1.4,1.3,1.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
生活用品及服务,0.9,0.9,0.8,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
交通和通信,-1.7,-1.8,-1.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
教育文化和娱乐,2.2,2.3,1.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
医疗保健,2.4,2.5,2.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
其他用品和服务,3.4,3.5,3.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,18
