产品名称,单位,产量,比上年增长（%）,来源文件,年份,表格编号
纱,万吨,2892.1,-6.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
布,亿米,575.6,-17.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
化学纤维,万吨,5952.8,9.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
成品糖,万吨,1389.4,15.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
卷烟,亿支,23642.5,1.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
彩色电视机,万台,18999.1,-3.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
其中：液晶电视机,万台,18689.7,-1.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
家用电冰箱,万台,7904.3,6.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
房间空气调节器,万台,21866.2,4.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
一次能源生产总量,亿吨标准煤,39.7,5.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
原煤,亿吨,38.5,4.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
原油,万吨,19101.4,0.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
天然气,亿立方米,1761.7,10.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
发电量,亿千瓦小时,75034.3,4.7,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
其中：火电[31],亿千瓦小时,52201.5,2.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
水电,亿千瓦小时,13044.4,5.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
核电,亿千瓦小时,3483.5,18.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
粗钢,万吨,99634.2,7.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
钢材[32],万吨,120477.4,6.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
十种有色金属,万吨,5866.0,2.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
其中：精炼铜（电解铜）,万吨,978.4,5.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
原铝（电解铝）,万吨,3504.4,-2.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
水泥,亿吨,23.5,4.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
硫酸（折100%）,万吨,8935.7,-1.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
烧碱（折100%）,万吨,3464.4,-0.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
乙烯,万吨,2052.3,10.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
化肥（折100%）,万吨,5731.2,6.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
发电机组（发电设备）,万千瓦,9274.1,-14.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
汽车,万辆,2552.8,-8.3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
其中：基本型乘用车（轿车）,万辆,1018.2,-16.4,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
运动型多用途乘用车（SUV）,万辆,876.0,-3.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
大中型拖拉机,万台,27.8,5.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
集成电路,亿块,2018.2,8.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
程控交换机,万线,790.5,-23.7,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
移动通信手持机,万台,170100.6,-5.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
微型计算机设备,万台,34163.2,8.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
工业机器人,万台（套）,17.7,-3.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,19
