指标,单位,绝对数,比上年增长（%）,来源文件,年份,表格编号
投资额,亿元,132194,9.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
其中：住宅,亿元,97071,13.9,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
房屋施工面积,万平方米,893821,8.7,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
其中：住宅,万平方米,627673,10.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
房屋新开工面积,万平方米,227154,8.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
其中：住宅,万平方米,167463,9.2,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
房屋竣工面积,万平方米,95942,2.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
其中：住宅,万平方米,68011,3.0,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
商品房销售面积,万平方米,171558,-0.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
其中：住宅,万平方米,150144,1.5,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
本年到位资金,亿元,178609,7.6,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
其中：国内贷款,亿元,25229,5.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
个人按揭贷款,亿元,27281,15.1,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,24
