指标,单位,绝对数,来源文件,年份,表格编号
新增220千伏及以上变电设备,万千伏安,23042,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
新建铁路投产里程,公里,8489,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
其中：高速铁路[50],公里,5474,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
增、新建铁路复线投产里程,公里,6448,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
电气化铁路投产里程,公里,7919,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
新改建公路里程,公里,327626,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
其中：高速公路,公里,8313,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
港口万吨级码头泊位新增通过能力,万吨/年,12022,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
新增民用运输机场,个,3,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
新增光缆线路长度,万公里,434,中华人民共和国2019年国民经济和社会发展统计公报 - 国家统计局.html,2019,7
