指标,全国,,,来源文件,年份,表格编号
城市,农村,,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
居民消费价格,2.5,2.3,3.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
其中：食品烟酒,8.3,7.8,9.6,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
衣　着,-0.2,-0.2,-0.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
居　住[9],-0.4,-0.4,-0.5,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
生活用品及服务,0.0,0.1,-0.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
交通和通信,-3.5,-3.6,-3.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
教育文化和娱乐,1.3,1.4,1.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
医疗保健,1.8,1.7,2.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
其他用品和服务,4.3,4.4,4.1,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,1
