行　业,比上年增长（%）,行　业,比上年增长（%）,来源文件,年份,表格编号
总  计,2.9,金融业,-13.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
农、林、牧、渔业,19.1,房地产业[36],5.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
采矿业,-14.1,租赁和商务服务业,5.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
制造业,-2.2,科学研究和技术服务业,3.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
电力、热力、燃气及水生产和供应业,17.6,水利、环境和公共设施管理业,0.2,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
建筑业,9.2,居民服务、修理和其他服务业,-2.9,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
批发和零售业,-21.5,教育,12.3,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
交通运输、仓储和邮政业,1.4,卫生和社会工作,26.8,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
住宿和餐饮业,-5.5,文化、体育和娱乐业,1.0,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
信息传输、软件和信息技术服务业,18.7,公共管理、社会保障和社会组织,-6.4,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,20
