指标,金额（亿元）,比上年增长（%）,,来源文件,年份,表格编号
货物进出口总额,321557,1.9,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
货物出口额,179326,4.0,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
其中：一般贸易,106460,6.9,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
加工贸易,48589,-4.2,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
其中：机电产品,106608,6.0,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
高新技术产品,53692,6.5,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
货物进口额,142231,-0.7,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
其中：一般贸易,86048,-0.7,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
加工贸易,27853,-3.2,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
其中：机电产品,65625,4.8,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
高新技术产品,47160,7.2,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
货物进出口顺差,37096,—,,中华人民共和国2020年国民经济和社会发展统计公报 - 国家统计局.html,2020,23
