指标,单位,绝对数,比上年增长（%）,,来源文件,年份,表格编号
货物运输总量,亿吨,529.7,12.3,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
铁路,亿吨,47.2,5.9,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
公路,亿吨,391.4,14.2,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
水路,亿吨,82.4,8.2,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
民航,万吨,731.8,8.2,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
管道,亿吨,8.7,5.7,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
货物运输周转量,亿吨公里,223574.4,13.7,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
铁路,亿吨公里,33190.7,9.3,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
公路,亿吨公里,69087.7,14.8,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
水路,亿吨公里,115577.5,9.2,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
民航,亿吨公里,278.2,15.8,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
管道,亿吨公里,5440.3,4.9,,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,4
