商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
钢材,万吨,6732,0.9,6427,22.3,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
纺织纱线、织物及制品,—,—,—,9836,4.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
服装及衣着附件,—,—,—,11713,6.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
鞋靴,万双,929318,6.6,3844,24.4,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
家具及其零件,—,—,—,4639,-2.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
箱包及类似容器,万吨,297,22.2,2378,32.6,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
玩具,—,—,—,3229,9.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
塑料制品,—,—,—,7188,12.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
集成电路,亿个,2734,-12.0,10254,3.5,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
自动数据处理设备及其零部件,—,—,—,15701,-4.7,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
手机,万台,82224,-13.8,9527,0.9,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
集装箱,万个,321,-33.7,967,-36.1,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
液晶平板显示模组,万个,164560,—,1807,—,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
汽车（包括底盘）,万辆,332,56.8,4054,82.2,中华人民共和国2022年国民经济和社会发展统计公报 - 国家统计局.html,2022,26
