国家和地区,出口额（亿元）,比上年增长（%）,占全部出口比重（%）,进口额（亿元）,比上年增长（%）,占全部进口比重（%）,来源文件,年份,表格编号
东盟,36817,0.0,15.5,27309,0.4,15.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
欧盟,35226,-5.3,14.8,19833,4.6,11.0,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
美国,35198,-8.1,14.8,11528,-1.8,6.4,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
日本,11076,-3.5,4.7,11309,-7.9,6.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
韩国,10467,-2.2,4.4,11381,-13.9,6.3,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
中国香港,19333,-1.3,8.1,958,84.3,0.5,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
中国台湾,4819,-11.1,2.0,14033,-10.5,7.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
俄罗斯,7823,53.9,3.3,9093,18.6,5.1,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
巴西,4159,1.0,1.7,8625,18.4,4.8,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
印度,8279,6.5,3.5,1301,12.2,0.7,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
南非,1661,4.4,0.7,2245,3.7,1.2,中华人民共和国2023年国民经济和社会发展统计公报 - 国家统计局.html,2023,13
