指标,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
货物进出口总额,454685,3.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
货物出口额,269890,6.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
其中：一般贸易,176411,6.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
加工贸易,52633,4.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
其中：机电产品,164683,8.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
高新技术产品,67806,8.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
货物进口额,184795,0.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
其中：一般贸易,110650,-3.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
加工贸易,32527,12.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
其中：机电产品,74069,5.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
高新技术产品,58844,9.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
货物进出口顺差,85094,20.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,10
