行业,比上年增长（%）,行业,比上年增长（%）,来源文件,年份,表格编号
总计,-3.8,金融业,7.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
农、林、牧、渔业,-0.8,房地产业[48],-17.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
采矿业,2.5,租赁和商务服务业,-4.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
制造业,0.6,科学研究和技术服务业,-15.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
电力、热力、燃气及水生产和供应业,9.1,水利、环境和公共设施管理业,-8.4,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
建筑业,-22.2,居民服务、修理和其他服务业,0.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
批发和零售业,5.6,教育,-8.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
交通运输、仓储和邮政业,-1.2,卫生和社会工作,-12.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
住宿和餐饮业,5.5,文化、体育和娱乐业,-3.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
信息传输、软件和信息技术服务业,8.8,公共管理、社会保障和社会组织,5.7,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,24
