行业,企业数（家）,比上年增长（%）,实际使用金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
总计,70392,19.1,7477,-9.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
其中：农、林、牧、渔业,366,-2.1,15,-44.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
制造业,4244,9.6,1855,-16.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
电力、热力、燃气及水生产和供应业,313,-28.7,243,-14.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
交通运输、仓储和邮政业,1054,25.8,88,-21.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
信息传输、软件和信息技术服务业,5567,39.6,440,-16.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
批发和零售业,25053,20.1,514,-11.9,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
房地产业,624,2.0,218,-46.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
租赁和商务服务业,12757,14.3,1896,4.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
居民服务、修理和其他服务业,1104,28.5,20,-43.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,31
