行业,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
总计,10404,1.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
其中：农、林、牧、渔业,151,54.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
采矿业,801,-10.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
制造业,2011,-4.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
电力、热力、燃气及水生产和供应业,143,-69.0,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
建筑业,299,4.2,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
批发和零售业,2555,27.3,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
交通运输、仓储和邮政业,709,34.8,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
信息传输、软件和信息技术服务业,369,-11.1,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
房地产业,89,-27.5,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
租赁和商务服务业,2719,-5.6,中华人民共和国2025年国民经济和社会发展统计公报 - 国家统计局.html,2025,32
