指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
平均每天能源消费量 (万吨标准煤),576.8625000000001,543.2875,529.9375,486.6875,471.25,447.81249999999994,412.6,384.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
平均每天煤炭消费量 (万吨),576.8625000000001,543.2875,529.9375,486.6875,471.25,447.81249999999994,412.6,384.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
平均每天焦炭消费量 (万吨),128.6,127.1,127.8,132.0,127.2,119.8,119.8,124.2,0.20908228755431066,0.22582370311809705,0.22716025656424918,0.25733504331666973,0.25667062763314247,0.25470760316964414,0.2788177339901478,0.31272679290096983
平均每天原油消费量 (万吨),207.6,191.8,198.1,189.8,184.3,172.6,162.7,156.1,0.34847047925718444,0.34617620387378806,0.36226487616210634,0.3783599863899286,0.3800367289618667,0.37467692919424017,0.38448275862068965,0.3969123177409778
平均每天燃料油消费量 (万吨),20.5,15.0,15.0,14.7,12.9,12.4,13.4,12.7,0.018349837895061862,0.017299509382193597,0.010377879741513923,0.011725600020938571,0.009722372258831154,0.010679087733250024,0.016748768472906406,0.018473312660816782
平均每天汽油消费量 (万吨),39.2,36.4,39.0,34.9,37.3,35.8,33.7,32.4,0.051344257956375025,0.05710698258423048,0.05650178970379802,0.05402151438218127,0.0624392351733823,0.06384731176687779,0.06674876847290641,0.07046249257768687
平均每天煤油消费量 (万吨),10.1,5.7,9.6,9.2,10.8,10.0,9.1,8.1,0.0,0.0,0.0,0.00020938571465961662,0.00518526520470995,0.00522593655031384,0.006157635467980296,0.006333707197994324
平均每天柴油消费量 (万吨),51.4,46.7,41.6,39.0,40.9,45.0,46.3,46.0,0.07287002933327451,0.07626665426558468,0.061498546616378796,0.06260632868322559,0.07021713298044722,0.08475105796813315,0.09778325123152708,0.10635350003298805
平均每天天然气消费量 (亿立方米),11.0,10.3,10.3,9.1,8.4,7.7,6.6,5.7,0.0015879667409188158,0.008556746576138769,0.0013452807072332881,0.0,0.0,0.0,0.0,0.0
平均每天电力消费量 (亿千瓦小时),258.6,242.1,233.4,212.1,205.1,195.9,180.6,167.2,0.438455261242584,0.4397423675215663,0.4301054603982992,0.42505300075902325,0.42497569406935287,0.4276179385952456,0.42857142857142855,0.4262057135317015
