指标,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2025年_标准化,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
可供消费的能源总量 (万吨标准煤),617000.0,596000.0,586847.0,553787.0,533841.0,502854.0,493178.0,471686.0,450444.0,434121.0,0,0,1.0,1.0,1.0,1.0,1.0,0.9994984765438109,0.9883285271351445,0.9835785083644676
一次能源生产总量 (万吨标准煤),617000.0,596000.0,475979.0,459507.0,427115.0,402671.0,397317.0,378859.0,358867.0,345954.0,0,0,0.8175333727228291,0.8338813065372674,0.8019190794357832,0.8053330690699093,0.8091292833960536,0.8047080252146688,0.7897703865917911,0.7871555463471037
进口量 (万吨标准煤),617000.0,596000.0,145253.0,120236.0,124807.0,124805.0,119064.0,110787.0,100039.0,90235.0,0,0,0.2732243045257872,0.23609540019663605,0.24084261321455086,0.26540791779853024,0.2550942795133704,0.24217917187775417,0.22857700396782377,0.21745165005803552
出口量 (-) (万吨标准煤),617000.0,596000.0,13625.0,12197.0,13122.0,12838.0,14151.0,13337.0,12669.0,11956.0,0,0,0.056590855602387725,0.045733737882039514,0.033557906458797325,0.04784333842429047,0.04619994823089023,0.03768770407178291,0.03914052167125604,0.04305768129696589
年初年末库存差额 (万吨标准煤),617000.0,596000.0,-20760.0,-13759.0,-4959.0,-11784.0,-9052.0,-4623.0,4206.0,9888.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.020790962901931876,0.03845048489182668
能源消费总量 (万吨标准煤),617000.0,596000.0,571327.0,541274.0,525027.0,496514.0,485584.0,471925.0,455827.0,441492.0,0,0,0.9744571737981952,0.9779524479073062,0.983641425389755,0.9876806609694582,0.9848794377078232,1.0,1.0,1.0
农、林、牧、渔业消费总量 (万吨标准煤),617000.0,596000.0,10442.0,10090.0,9661.0,9263.0,9018.0,8781.0,8945.0,8585.0,0,0,0.051352272110097484,0.0420212634746787,0.027134372680029696,0.0408967079772578,0.035979531290444615,0.028127282036646887,0.031066108714034823,0.035547594700387423
工业消费总量 (万吨标准煤),617000.0,596000.0,380260.0,363782.0,348551.0,332625.0,322503.0,311151.0,302308.0,295615.0,0,0,0.6599989796035924,0.6652165639437155,0.6561061618411285,0.6692257470299512,0.6601656611512654,0.6626278989734508,0.6671386136467119,0.6750077417831276
建筑业消费总量 (万吨标准煤),617000.0,596000.0,8106.0,8371.0,9608.0,9320.0,9142.0,8685.0,8243.0,7847.0,0,0,0.0475076817745681,0.03899243409344793,0.02703600593912398,0.041007465441727974,0.03622643012165741,0.027925833284370094,0.029544025498146182,0.033903440470700416
交通运输、仓储和邮政业消费总量 (万吨标准煤),617000.0,596000.0,46909.0,40434.0,43935.0,41309.0,43909.0,43617.0,42140.0,39883.0,0,0,0.11136968468105206,0.09548653325016827,0.09074610244988864,0.10316572037043514,0.10545168548274694,0.10122799801908727,0.1030398300123588,0.10527488342768283
批发和零售业、住宿和餐饮业消费总量 (万吨标准煤),617000.0,596000.0,17546.0,15628.0,14898.0,13393.0,13624.0,12994.0,12456.0,12042.0,0,0,0.06304403997978957,0.05177906284248325,0.03685412026726058,0.048921766367815825,0.04515062819823587,0.036967944467293956,0.03867869300318727,0.0432492765053034
其他消费总量 (万吨标准煤),617000.0,596000.0,37419.0,32375.0,31762.0,28245.0,27582.0,26262.0,24277.0,23185.0,0,0,0.09575103644296395,0.08128680318423528,0.06815330363771344,0.07778088675923658,0.07294267566652729,0.06480984077154872,0.0643090999761497,0.06807422309256944
居民生活消费总量 (万吨标准煤),617000.0,596000.0,70644.0,70288.0,67481.0,64374.0,61709.0,60436.0,57459.0,54336.0,0,0,0.15043276328284566,0.14808843688441112,0.1344469190794358,0.14798363121261934,0.14089361447942178,0.1365213997330804,0.1362546345482535,0.1374740176846833
