指标,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2025年_标准化,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
能源消费总量 (万吨标准煤),308525.7,19.8,169943.59500000003,159449.63999999998,163353.99125000002,159147.14125,153932.18875,144333.46,137752.635,134675.62125,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
煤炭占能源消费总量的比重 (%),308525.7,19.8,54.8,55.6,55.7,56.7,57.5,59.0,60.6,62.2,0,0,0.0002724569636425012,0.0002960338241222911,0.00028712201223125996,0.00030350874727683576,0.0003215868824905533,0.00035613853262332894,0.0003898487310696044,0.00041657532810156927
石油占能源消费总量的比重 (%),308525.7,19.8,18.8,18.4,18.8,18.9,19.0,18.9,18.9,18.7,0,0,6.061137636107479e-05,6.271903053438369e-05,6.122004525186779e-05,6.598016245148602e-05,7.146375166456741e-05,7.829504705532328e-05,8.711703487588924e-05,9.356237315650218e-05
天然气占能源消费总量的比重 (%),308525.7,19.8,8.5,8.4,8.8,8.4,8.0,7.6,6.9,6.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一次电力及其他能源占能源总量的比重 (%),308525.7,19.8,17.9,17.6,16.7,16.0,15.4,14.5,13.6,13.0,0,0,5.5315236679039114e-05,5.770150809163302e-05,4.836383574897554e-05,4.775706996488512e-05,4.8075614756163526e-05,4.780848006033015e-05,4.8640344472371494e-05,5.1236537680941676e-05
煤炭消费量 (万吨),308525.7,19.8,169943.59500000003,159449.63999999998,163353.99125000002,159147.14125,153932.18875,144333.46,137752.635,134675.62125,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
焦炭消费量 (万吨),308525.7,19.8,46949.01,46395.0,46664.0,48310.0,46426.0,43717.0,43743.0,45462.0,0,0,0.2762261085622131,0.2909322581786243,0.28562334552349417,0.3035188013968283,0.3015640386150809,0.30285217077521664,0.31751327908628163,0.33753665698132124
原油消费量 (万吨),308525.7,19.8,75759.46,70022.9,72298.86,69477.14,67268.27,63004.33,59402.17,57125.93,0,0,0.44576407245366234,0.43912415633496077,0.44256007444602374,0.4365294048095282,0.4369701120156139,0.4364895521842032,0.43119498400440487,0.42414816262666416
汽油消费量 (万吨),308525.7,19.8,14312.93,13277.27,14242.43,12767.16,13627.97,13055.3,12296.27,11866.04,0,0,0.08417584372433486,0.0832210662686768,0.0871383472698343,0.08017381499804971,0.0884849230689871,0.09040445004103907,0.08921778957439226,0.08806699459474021
煤油消费量 (万吨),308525.7,19.8,3698.33,2073.66,3489.89,3352.1,3950.23,3653.51,3326.36,2970.71,0,0,0.02171317231440627,0.012953110500144128,0.02131124873258244,0.02101122563705084,0.025611504156782507,0.025261654425617147,0.02409845938242661,0.02201396405424587
柴油消费量 (万吨),308525.7,19.8,18764.54,15781.89,15197.04,14282.7,14917.95,16409.56,16916.54,16839.04,0,0,0.11037178635760905,0.0989298000943796,0.09298247400962285,0.08969720313154735,0.0968655421937379,0.11364533008845404,0.12275980813489432,0.12499442965087398
燃料油消费量 (万吨),308525.7,19.8,7464.69,5470.77,5489.28,5364.6,4690.34,4536.07,4887.3,4631.04,0,0,0.04387669303977497,0.03425945508201016,0.03355152336019564,0.03365742344025233,0.030419780269915504,0.031376705463594674,0.03543049808402416,0.034342885881462955
天然气消费量 (亿立方米),308525.7,19.8,4006.39,3746.95,3772.96,3339.89,3059.68,2817.09,2393.69,2078.06,0,0,0.02352598208157061,0.023447823160432018,0.023044204553527063,0.020934500133857253,0.019825863789066096,0.019466296615173472,0.01732750563928531,0.015385515451217958
电力消费量 (亿千瓦小时),308525.7,19.8,94393.2,88357.62,85200.1,77620.17,74866.12,71508.2,65913.97,61205.09,0,0,0.5554161722744791,0.5541177426868984,0.5215415241065444,0.4876987802616543,0.4863310997960351,0.49541087092777414,0.47846904297980625,0.45443831263341633
