指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
供水总量 (亿立方米),5928.0,5906.5,5998.2,5920.2,5812.9,6021.2,6015.5,6043.4,6040.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
地表水供水总量 (亿立方米),4892.4,4874.7,4994.2,4928.1,4792.3,4982.5,4952.7,4945.5,4912.4,0.8175604256218729,0.818798075234449,0.827562517175048,0.8284128054791678,0.8204686180692373,0.82444605945882,0.8207485115784857,0.8158565630136527,0.8110697892585519
地下水供水总量 (亿立方米),784.0,819.5,828.2,853.8,892.5,934.2,976.4,1016.7,1057.0,0.09379183989852724,0.10663482139721121,0.11205001374003849,0.12374824884553522,0.13446383338024206,0.14023019588622038,0.15010709888515963,0.1569051692328335,0.16520923375883675
其他供水总量 (亿立方米),251.6,212.3,175.8,138.3,128.1,104.5,86.4,81.2,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
用水总量 (亿立方米),5928.0,5906.5,5998.2,5920.2,5812.9,6021.2,6015.5,6043.4,6040.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
农业用水总量 (亿立方米),3648.4,3672.4,3781.3,3644.3,3612.4,3682.3,3693.1,3766.4,3768.0,0.5984074413360582,0.6076534017070001,0.619246358889805,0.606375067019492,0.6129151421334085,0.6046951848158603,0.6083048017405677,0.6180939921505485,0.6193587295205548
工业用水总量 (亿立方米),971.0,970.2,968.4,1049.6,1030.4,1217.6,1261.6,1277.0,1308.0,0.12673525473891903,0.13310034772224372,0.13612943116240725,0.15761254950794723,0.15872150295524912,0.18812851758581642,0.19820883439307815,0.20056355036731408,0.20725701075484976
生活用水总量 (亿立方米),926.8,909.8,905.7,909.4,863.1,871.7,859.9,838.1,821.6,0.11894862941300824,0.12249306311685575,0.12536067600989284,0.133364464968263,0.12929214748100198,0.12966687511619654,0.1304582483007539,0.12694978363691256,0.1257747847354843
生态用水总量 (亿立方米),381.8,354.1,342.8,316.9,307.0,249.6,200.9,161.9,142.6,0.022937072792615042,0.02490253240139089,0.028682330310524872,0.03088949999135232,0.03146988460455953,0.024523805499687325,0.01931153126106829,0.013535272214954212,0.012028009515194157
人均用水量 (立方米/人),420.7,418.7,424.7,419.2,411.9,427.7,428.8,432.8,435.2,0.029790007751391727,0.03624740964490183,0.04274869469634515,0.04858264584306197,0.04992260061919505,0.054625044365947235,0.057749068155369274,0.05897152057965181,0.06104466110496867
"注：1. 2012年起,生活用水量中的牲畜用水量调整至农业用水量中。",948.9,940.0,937.05,979.5,961.45,1075.9,1119.0,1146.85,1182.5,0.12284194207596363,0.12779670541954974,0.13074505358615005,0.14548850723810514,0.14659266816774558,0.1641793567360184,0.1741579666391189,0.1787343598000738,0.18623312225684324
2. 生态用水仅包括部分河湖、湿地人工补水和城市环境用水。,948.9,940.0,937.05,979.5,961.45,1075.9,1119.0,1146.85,1182.5,0.12284194207596363,0.12779670541954974,0.13074505358615005,0.14548850723810514,0.14659266816774558,0.1641793567360184,0.1741579666391189,0.1787343598000738,0.18623312225684324
