指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
化学需氧量排放量 (万吨),215.365,231.03500000000003,2595.84,2614.73,2564.76,132.375,147.355,182.18,197.82500000000002,0,0,0.2767531822012837,0.2762125230488435,0.12129478195900001,0,0,0,0
氨氮排放量 (万吨),215.365,231.03500000000003,82.03,87.68,98.4,132.375,147.355,182.18,197.82500000000002,0,0,0.005125018909515268,0.005696041620390566,0.00305667529512665,0,0,0,0
总氮排放量 (万吨),215.365,231.03500000000003,317.2,325.97,320.73,132.375,147.355,182.18,197.82500000000002,0,0,0.030536165798629864,0.031204588091408567,0.013715248356066238,0,0,0,0
总磷排放量 (万吨),215.365,231.03500000000003,34.6,34.47,34.64,132.375,147.355,182.18,197.82500000000002,0,0,0.0,0.0,0.0,0,0,0,0
石油类排放量 (吨),215.365,231.03500000000003,1557.6,2217.5,3734.0,132.375,147.355,182.18,197.82500000000002,0,0,0.16456681001880147,0.23368971506410857,0.17734853073682127,0,0,0,0
挥发酚排放量 (吨),215.365,231.03500000000003,45.2,51.8,59.8,132.375,147.355,182.18,197.82500000000002,0,0,0.0011453763533810215,0.0018551475527413736,0.0012061786453166014,0,0,0,0
总铅排放量 (千克),215.365,231.03500000000003,9289.2,9376.045,20893.905,132.375,147.355,182.18,197.82500000000002,0,0,1.0,1.0,1.0,0,0,0,0
总汞排放量 (千克),215.365,231.03500000000003,818.0,638.0,1129.0,132.375,147.355,182.18,197.82500000000002,0,0,0.0846497957772351,0.06460687839042131,0.052463977038500635,0,0,0,0
总镉排放量 (千克),215.365,231.03500000000003,3195.0,3270.0,4166.0,132.375,147.355,182.18,197.82500000000002,0,0,0.34149504030428113,0.34635808201507773,0.1980587523098249,0,0,0,0
总铬排放量 (千克),215.365,231.03500000000003,9289.2,9376.045,20893.905,132.375,147.355,182.18,197.82500000000002,0,0,1.0,1.0,1.0,0,0,0,0
总砷排放量 (千克),215.365,231.03500000000003,8102.0,9223.0,10241.0,132.375,147.355,182.18,197.82500000000002,0,0,0.8717178484213255,0.9836167883895381,0.4892962431801888,0,0,0,0
六价铬排放量 (千克),215.365,231.03500000000003,3906.0,3946.0,8550.0,132.375,147.355,182.18,197.82500000000002,0,0,0.4183216994791779,0.4187227528548451,0.40822914901363977,0,0,0,0
"注：自2020年,铅、汞、镉、砷排放量指标名称修改为总铅、总汞、总镉、总砷排放量。",215.365,231.03500000000003,2076.7200000000003,2416.115,3149.38,132.375,147.355,182.18,197.82500000000002,0,0,0.2206599961100426,0.254951119056476,0.14932165634791064,0,0,0,0
