指标,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2024年_标准化,2023年_标准化,2022年_标准化,2021年_标准化,2020年_标准化,2019年_标准化,2018年_标准化,2017年_标准化,2016年_标准化
环境污染治理投资总额 (亿元),867.46,1298.0,1700.16,2003.11,2194.53,1930.02,1897.52,9538.95,9219.8,0.09983339048349034,0.20080149646973808,0.31083746577404,0.40775656263686383,0.4718926902697269,0.4218432272208425,0.38235035284244473,0.8117533181993837,0.8533214682500363
城镇环境基础设施建设投资额 (亿元),5051.29375,4715.42375,4648.147500000001,4469.30125,4294.2675,4059.23625,4318.8949999999995,6085.75,5412.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4993303266736943,0.47931793450803056
城镇燃气建设投资额 (亿元),478.94,439.36,370.51,305.15,318.3,376.47,398.59,566.67,532.02,0.016241940146976757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
城镇集中供热建设投资额 (亿元),551.13,670.14,517.08,558.29,523.61,699.6,578.59,778.33,662.52,0.031773873637641115,0.05397019630495452,0.03426424048321065,0.06079029910356881,0.051637746032883826,0.08774111036778401,0.04591479489478499,0.019149614961869402,0.012817825912561063
城镇排水建设投资额 (亿元),2909.04,2743.91,2676.8,2714.74,2675.69,1930.02,1897.52,1727.52,1485.48,0.539086538784786,0.5389419182536742,0.5391504072049115,0.578650931567387,0.5929097760482197,0.4218432272208425,0.38235035284244473,0.10502612930400683,0.09364968808115304
城镇园林绿化建设投资额 (亿元),867.46,1298.0,1700.16,2003.11,2194.53,2327.35,2413.45,2390.23,2170.89,0.09983339048349034,0.20080149646973808,0.31083746577404,0.40775656263686383,0.4718926902697269,0.5297322359245581,0.5139549091205914,0.16498380355223732,0.16097126707524098
城镇市容环境卫生建设投资额 (亿元),403.45,516.69,707.46,996.99,1130.03,684.41,605.07,623.0,561.11,0.0,0.01808438894298525,0.0787701155135282,0.16614189986494846,0.20415911347363883,0.08361649344429611,0.052669371388195586,0.005096370645384597,0.0028572456382866033
工业污染源治理投资 (万元),5051.29375,4715.42375,4648.147500000001,4469.30125,4294.2675,4059.23625,4318.8949999999995,11619.633749999997,10713.153750000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
当年完成环保验收项目环保投资 (亿元),867.46,1298.0,1700.16,2003.11,2194.53,1930.02,1897.52,2771.67,2988.81,0.09983339048349034,0.20080149646973808,0.31083746577404,0.40775656263686383,0.4718926902697269,0.4218432272208425,0.38235035284244473,0.19949400449268645,0.24130809596720992
"注：自2013年,建设项目""三同时""环保投资额指标名称改为当年完成环保验收项目环保投资。",867.46,1298.0,1700.16,2003.11,2194.53,1930.02,1897.52,2390.23,2170.89,0.09983339048349034,0.20080149646973808,0.31083746577404,0.40775656263686383,0.4718926902697269,0.4218432272208425,0.38235035284244473,0.16498380355223732,0.16097126707524098
